,paper,github_link
0,Primal-dual methods for linear programming,https://github.com/topics/primal-dual
1,Performance of a mass storage system for video-on-demand,https://github.com/InanisV/A-Video-Streaming-System-With-Dash.js-based-on-BBA-rule-ABRRule
2,Introduction: Lexical semantics in context,https://github.com/topics/lexical-semantics%3Fl%3Dpython
3,Test synthesis: from wishful thinking to reality,https://github.com/MLRG-CEFET-RJ/ml-class/blob/master/DataMining_week09.ipynb
4,Message world: a new approach to facilitating asynchronous group communication,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes/blob/main/microsoft-azure/microsoft-azure-quiz.md
5,"The Self-4.0 user interface: Manifesting a system-wide vision of concreteness, uniformity, and flexibility",https://github.com/sm2774us/full_stack_interview_prep_2021
6,"Volumetric hyper-reality, a computer graphics holy grail for the 21st century?",
7,Using a prototype-based language for user interface: The Newton project's experience,https://github.com/topics/prototype-based
8,Intelligent agents: What we learned at the library,https://github.com/topics/intelligent-agents
9,"Cyberspace, anthropological theory, and the training of anthropologists",https://github.com/topics/anthropology%3Fo%3Dasc%26s%3Dstars
10,Supporting constant-bit-rate-encoded MPEG-2 transport over local ATM networks,https://github.com/topics/mpeg-2
11,OpenDoc - building online help for a component-oriented architecture,https://github.com/topics/component-architecture
12,Things that blink: Computationally augmented name tags,https://github.com/jwasham/coding-interview-university
13,Interpersonal access control in computer-mediated communications: A systematic analysis of the design space,https://github.com/rhiaro/thesis/blob/gh-pages/bib.bib
14,Strategic partnering for developing new products,https://github.com/todogroup/todogroup.org/blob/main/content/en/guides/strategy.md
15,Measurement study of memory transaction characteristics on a powerPC-based Macintosh,https://github.com/speedb-io/speedb/blob/main/HISTORY.md
16,Electronic color printing technology,https://github.com/jywarren/risoAtHome
17,"Capture, characterization, and performance analysis of Macintosh traces",https://github.com/joomcode/trace-analysis
18,ColorSync: synchronizing the color behavior of your devices,https://github.com/IntelRealSense/librealsense/issues/2121
19,Digital cameras and electronic color image acquisition,https://github.com/sightmachine/SimpleCV/blob/master/SimpleCV/Camera.py
20,A semi-automatic system for edge tracking with snakes,https://github.com/topics/edge-detection%3Fo%3Dasc%26s%3Dforks
21,Novel word clustering algorithm based on latent semantic analysis,https://github.com/topics/lsa%3Fo%3Dasc%26s%3Dstars
22,Rapid prototyping using visual programming tools,https://github.com/topics/rapid-prototyping
23,Design and long-term use of a personal electronic notebook: a reflective analysis,https://github.com/Franjcf/Data-Science-Projects/blob/main/README.rst
24,Real-time complexity metrics for Smalltalk methods,https://github.com/ObjectProfile/CKMetrics
25,Creating global software: Text handling and localization in Taligent's CommonPoint application system,https://github.com/el33th4x0r/crosstex-dbgen/blob/master/xtx/ibmsj.xtx
26,Two adaptive hybrid cache coherency protocols,https://github.com/ishan00/multiprocessor-cache-coherence
27,Frontiers in user interface design: wearable computers,https://github.com/topics/wearable-computing
28,Color management from desktop to printing press,https://github.com/doug3236/ABWProfilePatches
29,Your place or mine? Learning from long-term use of audio-video communication,https://github.com/daveshap/NaturalLanguageCognitiveArchitecture
30,Criteria for effective groupware,https://github.com/topics/groupware
31,Comparative study of wavelet image coders,https://github.com/topics/wavelet-analysis%3Fo%3Dasc%26s%3Dforks
32,A wireless network in mosquitonet,https://github.com/topics/wireless-network
33,Deterministic test pattern reproduction by a counter,https://github.com/dubzzz/fast-check/blob/main/packages/fast-check/documentation/Tips.md
34,Adaptive DFE for GMSK in indoor radio channels,https://github.com/topics/adaptive-equalizers
35,From shared whiteboards to collaborative computing,https://github.com/topics/whiteboard
36,Design models for computer-human interfaces,https://github.com/topics/human-computer-interaction%3Fl%3Djava
37,Hierarchical polygon tiling with coverage masks,https://github.com/GameTechDev/MaskedOcclusionCulling
38,Reconstructing curved surfaces from specular reflection patterns using spline surface fitting of normals,https://github.com/topics/surface-reconstruction%3Fo%3Dasc%26s%3Dstars
39,Neural networks provide robust character recognition for Newton PDAs,https://github.com/topics/xo-character-recognition
40,Performance of a storage system for supporting different video types and qualities,https://github.com/BrandonHaynes/vss
41,Evolving an operating system for the Web,https://github.com/ankiw/Advanced-operating-system
42,Towards a world-wide civilization of objects,https://github.com/topics/civilization
43,Image deblocking via multiscale edge processing,https://github.com/YahiaBakour/multiscaleEdgeDetection
44,Telekommunikationssysteme mit leitweglenkung suchen die kostengünstigste verbindung,
45,Testing internet software,https://github.com/topics/internet-speed-test
46,Science Education and Technology: Opportunities to Enhance Student Learning,https://github.com/topics/educational-technology%3Fl%3Djava
47,Experimental ATM-based video-on-demand system on a Macintosh platform,https://github.com/rsodre/VLCSyphon/blob/Syphon/NEWS
48,Consistency guarantees: Exploiting application semantics for consistency management in a collaboration toolkit,https://github.com/keyvanakbary/learning-notes/blob/master/books/designing-data-intensive-applications.md
49,Hierarchical polygon tiling with coverage masks,https://github.com/GameTechDev/MaskedOcclusionCulling
50,Walking away from the desktop computer: Distributed collaboration and mobility in a product design team,https://github.com/MicrosoftDocs/mixed-reality/blob/docs/mixed-reality-docs/mr-dev-docs/out-of-scope/case-study-the-pursuit-of-more-personal-computing.md
51,Freeflow: Mediating between representation and action in workflow systems,https://github.com/microsoft/Freeflow/actions
52,Measuring object surface shape and reflectance properties,https://github.com/nasa/HyperInSPACE
53,Technical terminology for domain specification and content characterisation,https://github.com/DK-Hostmaster/das-service-specification
54,Effective training of a neural network character classifier for word recognition,https://github.com/AI-Passionner/word-recognition-ocr
55,Artificial agents learn policies for multi-issue negotiation,https://github.com/topics/automated-negotiation
