,name,forks,stars,created_at,open_issues
0,ads-advanced-tools-docs,23,43,2022-05-16 19:49:03,1
1,alexa-coho,25,62,2015-08-20 20:42:31,4
2,alexa-skills-kit-js,1063,1130,2015-07-21 21:46:48,11
3,amazon-ads-advertiser-audience-normalization-sdk-py,2,4,2022-05-23 17:59:56,0
4,amazon-advertising-api-php-sdk,71,91,2016-06-16 18:16:46,14
5,amazon-codeguru-profiler-for-spark,8,14,2021-11-18 04:37:55,0
6,amazon-frustration-free-setup-certification-tool,4,5,2021-08-18 00:30:56,0
7,amazon-hub-counter-api-docs,9,4,2019-12-02 17:30:48,1
8,amazon-hub-counter-api-samples,6,2,2019-09-26 20:14:36,0
9,amazon-hub-counter-sdk-java,7,2,2019-09-26 20:11:19,1
10,amazon-hub-support,7,5,2021-05-19 09:24:57,0
11,amazon-instant-access-sdk-java,27,9,2015-06-03 22:59:11,4
12,amazon-instant-access-sdk-net,12,9,2016-02-19 07:19:52,0
13,amazon-instant-access-sdk-php,20,13,2015-06-03 22:58:39,2
14,amazon-instant-access-sdk-ruby,10,6,2017-03-24 19:01:15,0
15,amazon-launcher-integration-cordova-plugin,5,9,2018-03-13 16:06:32,1
16,amazon-marketing-stream-examples,0,1,2023-02-15 21:33:26,0
17,amazon-mcf-plugin-for-magento-1,11,13,2017-12-05 20:13:52,4
18,amazon-nearest-neighbor-through-ecc,0,1,2023-02-08 11:30:01,0
19,amazon-pay-api-sdk-dotnet,10,11,2019-08-28 22:27:25,1
20,amazon-pay-api-sdk-java,15,25,2019-08-26 16:55:21,4
21,amazon-pay-api-sdk-nodejs,13,29,2020-04-24 17:15:24,2
22,amazon-pay-api-sdk-php,26,36,2019-06-27 22:23:16,11
23,amazon-pay-sdk-csharp,45,45,2014-12-06 01:01:38,12
24,amazon-pay-sdk-java,52,53,2014-12-05 18:51:43,13
25,amazon-pay-sdk-php,94,205,2014-11-07 18:00:47,36
26,amazon-pay-sdk-python,37,49,2015-01-23 23:00:34,8
27,amazon-pay-sdk-ruby,32,57,2015-01-26 18:56:59,8
28,amazon-pay-sdk-samples,34,37,2015-04-01 23:52:35,10
29,amazon-payment-files-tools,5,7,2020-08-07 22:14:01,0
30,amazon-payments-magento-2-plugin,76,91,2016-05-27 18:00:03,8
31,amazon-ray,22,55,2021-01-21 22:18:15,11
32,amazon-s3-gst-plugin,19,31,2019-05-15 17:33:53,4
33,amazon-sidewalk-android-samples,0,1,2023-03-03 03:49:07,0
34,amazon-sidewalk-ios-samples,0,5,2023-03-03 05:28:13,0
35,amazon-succinct-doc-representation,1,4,2022-03-03 09:56:51,0
36,amazon-template-library,6,14,2018-04-20 17:31:06,0
37,amazon-weak-ner-needle,26,94,2021-07-04 09:40:16,9
38,amigitenough,5,3,2021-05-21 04:06:08,0
39,amzn-drivers,158,398,2016-02-23 20:59:03,25
40,amzn-ec2-ena-utilities,6,9,2020-10-26 13:15:33,1
41,auction-gym,13,85,2022-06-23 18:04:40,0
42,autotrail,12,18,2017-12-20 04:05:43,0
