,name,forks,stars,created_at,open_issues
0,apple_rules_lint,19,130,2020-09-10 16:49:37,2
1,ARKitScenes,46,419,2021-10-26 17:55:13,12
2,AudioUnit-Examples,3,43,2022-10-12 22:28:26,0
3,AudioUnitSDK,25,100,2021-06-03 18:33:02,1
4,batch-processing-gateway,30,143,2022-08-04 18:18:05,3
5,ccs-caldavclientlibrary,24,40,2016-08-04 00:52:14,2
6,ccs-caldavtester,34,50,2016-08-04 00:52:15,24
7,ccs-calendarserver,145,463,2016-08-04 00:52:17,53
8,ccs-pycalendar,34,68,2016-08-04 00:52:18,2
9,ccs-pykerberos,61,109,2016-08-04 00:52:19,23
10,ccs-pyopendirectory,23,22,2016-08-04 00:52:20,0
11,ccs-pyosxframeworks,26,25,2016-08-04 00:52:17,0
12,ccs-pysecuretransport,20,22,2016-08-04 00:52:21,0
13,ccs-twistedextensions,27,18,2016-08-04 00:52:22,5
14,coremltools,497,3220,2017-06-30 07:39:02,218
15,cups,447,1660,2015-10-12 22:33:18,96
16,darwin-libplatform,52,126,2017-06-02 21:34:55,0
17,darwin-libpthread,67,154,2017-06-02 21:34:31,0
18,darwin-xnu,1655,10624,2017-06-02 21:33:51,3
19,device-management,26,309,2022-05-20 19:32:55,0
20,example-package-dealer,108,293,2015-11-10 19:52:44,0
21,example-package-deckofplayingcards,72,169,2015-11-10 19:52:02,0
22,example-package-fisheryates,63,179,2015-11-10 19:51:32,3
23,example-package-playingcard,106,283,2015-11-10 19:50:42,1
24,FHIRModels,31,138,2020-06-23 18:53:17,2
25,foundationdb,1215,12178,2017-12-14 01:40:42,934
26,fstools,20,44,2016-01-25 19:26:00,4
27,GCGC,42,422,2021-11-02 20:32:51,4
28,HomeKitADK,237,2463,2019-12-11 17:37:22,37
29,indexstore-db,69,269,2018-10-26 03:42:22,2
30,learning-compressible-subspaces,7,11,2021-10-21 22:39:13,0
31,learning-subspaces,17,120,2021-03-02 23:30:05,1
32,llvm-monorepo-root,8,7,2019-07-09 21:17:32,0
33,llvm-project,285,772,2019-10-17 20:03:10,292
34,llvm-project-v5,10,7,2019-10-17 02:03:22,0
35,llvm-project-v5-split,7,6,2019-10-17 02:04:59,0
36,MaterialX,1,8,2023-03-01 16:09:28,0
37,ml-afv,20,44,2019-10-18 16:34:39,1
38,ml-all-pairs,21,36,2018-06-06 18:25:25,1
39,ml-ane-transformers,56,2130,2022-06-03 16:36:06,1
40,ml-aspanformer,10,63,2022-12-05 23:55:41,0
41,ml-batchquant,4,17,2022-09-08 21:55:42,0
42,ml-capsules-inverted-attention-routing,25,117,2020-01-29 05:56:34,3
43,ml-cifar-10-faster,17,50,2019-11-21 15:59:51,0
44,ml-code-switched-speech-translation,11,20,2022-04-07 06:10:16,3
45,ml-collegial-ensembles,8,9,2020-10-22 16:28:42,0
46,ml-core,11,21,2021-11-29 19:00:13,2
